"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","test 1","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/functionalTest.spec.ts","",""
"","14188","Handle Windows Navigation","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","2234","Place an ecom order for starandard_user","chromium","2026-05-12","passed","2026-05-12","Verify Saucedemo Checkout flow","pdp/saucedemo.spec.ts","",""
"","941","fetch product API calls","chromium","2026-05-12","passed","2026-05-12","","tests/api/ChapterAPIReq.spec.ts","",""
"","344","mock product API calls - fetch all","chromium","2026-05-12","failed","2026-05-12","","tests/api/ChapterAPIReq.spec.ts","",""
"","534","Handle Windows/ tabs","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","761","Page navigate to Playwright uRL and verify the navigation is correct","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","584","Practice using getByPlaceholder locator/selector","chromium","2026-05-12","passed","2026-05-12"," Practice PW Locator/Selectors - getByPlaceholder","src/tspractice/locatorsTest.spec.ts","",""
"","940","Verify login with valid username and invalid password","chromium","2026-05-12","passed","2026-05-12","Login functionality","src/tspractice/testRunner.spec.ts","",""
"","5907","test","chromium","2026-05-12","failed","2026-05-12","","tests/ui/auth-actions.spec.ts","",""
"","10559","Browser Context,on1 window","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","383","Practice using getByTestId locator/selector","chromium","2026-05-12","failed","2026-05-12"," Practice PW Locator/Selectors - Shadow DOM with shadoHost","src/tspractice/locatorsTest.spec.ts","",""
"","904","Verify login with invalid username and valid password","chromium","2026-05-12","passed","2026-05-12","Login functionality","src/tspractice/testRunner.spec.ts","",""
"","1202","Verify login with valid username and password","chromium","2026-05-12","passed","2026-05-12","Login functionality","src/tspractice/testRunner.spec.ts","",""
"","209","Sign up","chromium","2026-05-12","failed","2026-05-12","","tests/ui/auth-flow.spec.ts","",""
"","8189","Browser Context, multipe windows","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","1332","Practice using getByLabel locator/selector","chromium","2026-05-12","passed","2026-05-12"," Practice PW Locator/Selectors - getByText","src/tspractice/locatorsTest.spec.ts","",""
"","1084","Practice using getByRole locator/selector","chromium","2026-05-12","passed","2026-05-12"," Practice PW Locator/Selectors - getByRole","src/tspractice/locatorsTest.spec.ts","",""
"","1883","Verify login with valid username and valid password","chromium","2026-05-12","passed","2026-05-12","Verify Saucedemo login flow","pdp/saucedemo.spec.ts","",""
"","1325","Complete workflow for product order - with steps","chromium","2026-05-12","passed","2026-05-12","","tests/ui/checkout.spec.ts","",""
"","317","Practice using getByTestId locator/selector","chromium","2026-05-12","failed","2026-05-12"," Practice PW Locator/Selectors - getByTestId","src/tspractice/locatorsTest.spec.ts","",""
"","936","Practice using getByLabel locator/selector","chromium","2026-05-12","passed","2026-05-12"," Practice PW Locator/Selectors - getByLabel","src/tspractice/locatorsTest.spec.ts","",""
"","858","Verify login with locked_out_user and valid password","chromium","2026-05-12","passed","2026-05-12","Verify Saucedemo login flow","pdp/saucedemo.spec.ts","",""
"","9074","Broswer instance Safari browser:","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","787","Add to cart functionality","chromium","2026-05-12","passed","2026-05-12","","tests/ui/cart.spec.ts","",""
"","1923","Complete workflow for product order","chromium","2026-05-12","passed","2026-05-12","","tests/ui/checkout.spec.ts","",""
"","904","Item is added to the shopping cart","chromium","2026-05-12","passed","2026-05-12","","tests/ui/checkout.spec.ts","",""
"","933","Verify if Get started link is visible","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/generalTest.spec.ts","",""
"","812","test 2","chromium","2026-05-12","passed","2026-05-12","","src/tspractice/functionalTest.spec.ts","",""
"","2768","fetch product API calls - fetch all","chromium","2026-05-12","passed","2026-05-12","","tests/api/ChapterAPIReq.spec.ts","",""
